"person","person_name"
"https://orcid.org/0000-0001-9745-3222","Anna Trias-Blasi"
"https://orcid.org/0000-0002-7619-824X","Colin Pendry"
"https://orcid.org/0000-0002-0855-4169","Danilo Neves"
"https://orcid.org/0000-0002-6801-2484","David Harris"
"https://orcid.org/0000-0001-9144-2848","Elspeth Haston"
"https://orcid.org/0000-0001-8778-6779","Felicity Anderson"
"https://orcid.org/0000-0002-3523-1883","Hannah Atkins"
"https://orcid.org/0000-0002-0235-9506","Laura Forrest"
"https://orcid.org/0000-0002-2168-0514","Mark Hughes"
"https://orcid.org/0000-0003-4851-015X","Mark Newman"
"https://orcid.org/0000-0002-4989-3976","Mark Watson"
"https://orcid.org/0000-0002-8457-345X","Markus Ruhsam"
"https://orcid.org/0000-0003-4342-2089","Peter Moonlight"
"https://orcid.org/0000-0002-3407-8397","Peter Wilkie"
"https://orcid.org/0000-0002-3410-7258","Sabina Knees"
"https://orcid.org/0000-0002-8196-288X","Toby Pennington"
"https://orcid.org/0000-0003-2926-1645","Zoë Goodwin"
"https://orcid.org/0000-0002-6143-3411","Øystein Lofthus"
